d,L,r,delta,sigma,omega,attention_lmbda,linear_lmbda,alpha,informed,optim,N_iter,informed_position,r_student,attention_mag_max,attention_thet_max,attention_mag_min,attention_thet_min,linear_gen_error_mean,attention_gen_error_mean,attention_train_error_mean
1000,2,1,0.4,0.5,0.06,0.01,0.0001,1.1708333333333334,False,GD,1.0,0.0,2.0,0.16908103,0.18471284,0.033574816,0.0590899,0.0035410455322265623,0.004002774609375001,2.7895239528656006
1000,2,1,0.4,0.5,0.06,0.01,0.0001,1.25375,False,GD,1.0,0.0,2.0,0.1521441,0.17550966,0.06748478,0.06830335,0.0035784811950683596,0.00410550576171875,3.0448746518135072
1000,2,1,0.4,0.5,0.06,0.01,0.0001,1.3366666666666667,False,GD,1.0,0.0,2.0,0.16263166,0.16850899,0.048627935,0.039837472,0.0035709820434570313,0.004065764648437499,3.130749787902832
1000,2,1,0.4,0.5,0.06,0.01,0.0001,1.4195833333333334,False,GD,1.0,0.0,2.0,0.14638229,0.32812658,0.06550084,0.13920337,0.0036504494934082032,0.0034110212463378904,3.1499481651306156
1000,2,1,0.4,0.5,0.06,0.01,0.0001,1.5025,False,GD,1.0,0.0,2.0,0.1592942,0.24614918,0.049178295,0.10256137,0.0035187375671386716,0.003695046997070312,3.317821811199188
1000,2,1,0.4,0.5,0.06,0.01,0.0001,1.5854166666666667,False,GD,1.0,0.0,2.0,0.14952764,0.24533507,0.05640302,0.11738883,0.003552916979980469,0.0036416303070068356,3.5513634705543518
1000,2,1,0.4,0.5,0.06,0.01,0.0001,1.6683333333333332,False,GD,1.0,0.0,2.0,0.13819733,0.31883964,0.063103825,0.15177006,0.0036102203247070316,0.003365081164550781,3.6245029853820805
1000,2,1,0.4,0.5,0.06,0.01,0.0001,1.75125,False,GD,1.0,0.0,2.0,0.13968745,0.47386402,0.05470121,0.17054114,0.003633126647949218,0.002402036535644531,3.4661659156799316
1000,2,1,0.4,0.5,0.06,0.01,0.0001,1.8341666666666667,False,GD,1.0,0.0,2.0,0.13090022,0.3910117,0.07237518,0.24458428,0.003571043103027344,0.002578369287109375,3.635388699436188
1000,2,1,0.4,0.5,0.06,0.01,0.0001,1.9170833333333333,False,GD,1.0,0.0,2.0,0.13124903,0.36775607,0.048388164,0.18671156,0.003592160369873047,0.002935738394165039,4.080683055400849
1000,2,1,0.4,0.5,0.06,0.01,0.0001,2.0,False,GD,1.0,0.0,2.0,0.12877384,0.4661789,0.07320146,0.2766043,0.003499202459716797,0.0019419993118286135,3.604663406181335
1000,2,1,0.4,0.5,0.06,0.01,0.0001,2.0833333333333335,False,GD,1.0,0.0,2.0,0.12639105,0.51699317,0.06318117,0.24599953,0.003508614440917969,0.001787257781982422,3.660628901529312
