d,L,r,delta,sigma,omega,attention_lmbda,linear_lmbda,alpha,informed,optim,N_iter,linear_gen_error_mean,attention_gen_error_mean,attention_train_error_mean,attention_mag_mean,attention_theta_mean
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.25375,True,GD,0.0,9.359377277463058e-06,1.4049426255305765e-05,0.022021952379713064,0.00661154596823329,0.004834372273410993
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.3366666666666667,False,GD,0.0,9.128506663552821e-06,1.2195591832817226e-05,0.024617100015254034,0.002548809259184777,0.003711438900703914
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.3366666666666667,True,GD,0.0,9.079443975937707e-06,1.1162200173672574e-05,0.025598604607978245,0.0034128433243768965,0.003766314794277037
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.4195833333333334,False,GD,0.0,1.0112580020440767e-05,1.2437758812319362e-05,0.028743938533566844,0.0036847006510149264,0.004162553050754372
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.4195833333333334,True,GD,0.0,1.5155952867237492e-05,4.13554529946728e-05,0.03507689619791775,0.029084438513630274,0.00477771400498279
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.5025,False,GD,0.0,1.1373196150952822e-05,1.5807403794235194e-05,0.028781694264928406,0.0027608243404785462,0.004593090553567838
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.5025,True,GD,0.0,9.526454872873122e-06,1.1352177586031152e-05,0.029669543101008975,0.003767155438985267,0.00448335978640797
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.5854166666666667,False,GD,0.0,8.801287851086872e-06,1.0699235334333657e-05,0.024645125270034623,0.002828428148237648,0.004774992695284896
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.5854166666666667,True,GD,0.0,1.2242792531667145e-05,1.4931389700949356e-05,0.03745319375498283,0.003972281320054766,0.005052757220935143
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.6683333333333332,False,GD,0.0,9.29137398019617e-06,1.1805173623580277e-05,0.03165330366912281,0.002631544983748819,0.005533182087966642
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.6683333333333332,True,GD,0.0,1.0235503183846662e-05,1.2973165406560335e-05,0.025490807056065014,0.003266657486033214,0.006109046254627283
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.75125,False,GD,0.0,1.2422116074816431e-05,1.469455230803644e-05,0.04715023595979511,0.004010864498453684,0.005364769082461408
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.75125,True,GD,0.0,1.0514105793676331e-05,1.2992137514074738e-05,0.029954618356495905,0.0031747680367926207,0.004070380008753722
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.8341666666666667,False,GD,0.0,1.2209950978905511e-05,1.4885998640333886e-05,0.03651771917181538,0.003372277422798359,0.006552381348635654
